trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-185.25613993809387,"{0: 10, 1: 5, 2: 5, 3: 4, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-79.01913265011834,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-153.86587402728708,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-94.5891208168058,"{0: 13, 1: 3, 2: 1, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-218.41422485785924,"{0: 16, 1: 6, 2: 4, 3: 0, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-126.79077878920332,"{0: 12, 1: 5, 2: 6, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-156.11279881171401,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-82.40448733658972,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-28.870283953947432,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,16,6.639282443161321,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-75.88336971652971,"{0: 20, 1: 4, 2: 5, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,4.212011424540046,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-70.18159244219213,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-11.147314015476713,"{0: 24, 1: 4, 2: 2, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,9,-13.049473283797177,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-50.1936654422771,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,13.03759817174563,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-62.08072695847296,"{0: 21, 1: 2, 2: 0, 3: 0, 4: 2}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-85.61616025280406,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-82.36600234017787,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",25,0,-7.790029378845702,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",30,0,-20.558010473375255,"{0: 25, 1: 2, 2: 1, 3: 2, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,0,19.976153038314052,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,0,15.039806142827771,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,15,-38.31207133662633,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",25,0,-45.8805541849011,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",25,0,-37.40613427522905,"{0: 21, 1: 0, 2: 1, 3: 3, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,0,14.052132304784116,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,0,-23.13073005731235,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",35,25,-46.731065142972994,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 1}",1
