trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-68.98609357722623,"{0: 16, 1: 1, 2: 0, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-91.40624992281818,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-50.86346062096355,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-93.53478175646535,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-94.32733653233815,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",35,0,-245.34949848909514,"{0: 18, 1: 1, 2: 12, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-107.68931512173371,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-72.4592337014082,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-140.8602348646288,"{0: 17, 1: 5, 2: 5, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",35,0,-320.08082390897835,"{0: 13, 1: 4, 2: 12, 3: 2, 4: 4}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-158.06576899716185,"{0: 19, 1: 4, 2: 4, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-104.17496780050676,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",35,0,-248.15156096684922,"{0: 16, 1: 5, 2: 10, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-73.41486781843585,"{0: 10, 1: 6, 2: 3, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-111.2460739962454,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-137.3186809567238,"{0: 8, 1: 1, 2: 8, 3: 3, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.38090363983916,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-124.98644277624925,"{0: 6, 1: 4, 2: 9, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-227.43182826442595,"{0: 14, 1: 0, 2: 4, 3: 4, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-216.9861761352091,"{0: 7, 1: 4, 2: 4, 3: 2, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-25.91238458018116,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-145.32624442627082,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-193.47362073496276,"{0: 7, 1: 4, 2: 6, 3: 0, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-157.27622063568117,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,14,-12.887345183667408,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 0}",1
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-134.28998934704663,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-117.37112974418662,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-76.45264556978357,"{0: 17, 1: 3, 2: 2, 3: 3, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-191.98643265695253,"{0: 14, 1: 4, 2: 9, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-79.37834848829515,"{0: 19, 1: 4, 2: 5, 3: 2, 4: 0}",0
