trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9900498337491681}",20,0,-155.76927648557918,"{0: 9, 1: 5, 2: 2, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9801986733067553}",25,0,-67.48473380841328,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9704455335485082}",25,0,-196.7525074044786,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.9607894391523232}",25,0,-60.97976052343924,"{0: 18, 1: 2, 2: 3, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.951229424500714}",30,0,-129.0936785449805,"{0: 15, 1: 7, 2: 7, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9417645335842487}",20,0,-193.87252327684124,"{0: 8, 1: 2, 2: 5, 3: 3, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9323938199059483}",25,3,-75.23316953346503,"{0: 15, 1: 3, 2: 2, 3: 1, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.9231163463866358}",20,0,-31.89208278186217,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9139311852712282}",20,0,-58.31630061682902,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9048374180359595}",25,0,-78.38579017641477,"{0: 16, 1: 3, 2: 4, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.8958341352965282}",30,0,-139.11238782057288,"{0: 17, 1: 5, 2: 5, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.8869204367171575}",30,0,-250.03187994170435,"{0: 16, 1: 2, 2: 6, 3: 2, 4: 4}",0
13,False,"{'a': 0.5, 'e': 0.8780954309205613}",20,0,-107.21781410336347,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.8693582353988059}",20,0,-121.29609414415717,"{0: 14, 1: 1, 2: 1, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.8607079764250578}",25,0,-81.65234891409155,"{0: 17, 1: 2, 2: 3, 3: 3, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.8521437889662113}",20,0,-74.89754755243455,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.8436648165963837}",25,0,-112.16265240570173,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.835270211411272}",25,0,-110.08844269908553,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.8269591339433623}",25,0,-56.38134834811185,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.8187307530779818}",20,0,-82.81327744022518,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.8105842459701871}",25,0,-88.57990766151417,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.8025187979624785}",30,0,-290.46605957981427,"{0: 13, 1: 5, 2: 6, 3: 1, 4: 5}",0
23,False,"{'a': 0.5, 'e': 0.794533602503334}",25,0,-82.67622105933701,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.7866278610665535}",25,0,-70.28117352703607,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.7788007830714049}",30,0,-109.73323788872496,"{0: 20, 1: 3, 2: 4, 3: 2, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.7710515858035663}",20,8,-48.66783781374695,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 1}",1
27,False,"{'a': 0.5, 'e': 0.7633794943368531}",20,0,-60.938135221271686,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.7557837414557255}",25,17,-54.04657643599594,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 1}",1
29,False,"{'a': 0.5, 'e': 0.7482635675785653}",25,0,-119.73785558344255,"{0: 13, 1: 2, 2: 7, 3: 3, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.7408182206817179}",20,0,-71.1784399191554,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.7334469562242892}",20,0,-41.1738395745599,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.7261490370736909}",20,7,-49.01683710033038,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 1}",1
33,False,"{'a': 0.5, 'e': 0.7189237334319262}",30,0,-136.94136024213134,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
34,False,"{'a': 0.5, 'e': 0.7117703227626097}",25,0,-97.09162116221155,"{0: 13, 1: 4, 2: 7, 3: 1, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.7046880897187134}",25,0,-63.66868793661991,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.697676326071031}",25,0,-58.746002361463425,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.6907343306373547}",20,0,-29.29176822933076,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.6838614092123558}",20,7,-19.29503140504553,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.6770568744981647}",20,0,-124.30059313138665,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
40,False,"{'a': 0.5, 'e': 0.6703200460356393}",20,0,23.631230026567827,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.6636502501363194}",20,0,-92.74394949317684,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
42,False,"{'a': 0.5, 'e': 0.6570468198150567}",20,0,-54.910056132436225,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.6505090947233165}",25,0,-41.69839380078579,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.6440364210831414}",20,2,-24.234338323877207,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 1}",1
45,False,"{'a': 0.5, 'e': 0.6376281516217733}",20,0,-10.949424249044206,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.631283645506926}",25,0,-75.01932873395668,"{0: 15, 1: 1, 2: 9, 3: 0, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.6250022682827008}",20,0,-54.56464393555396,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.6187833918061408}",20,9,-4.8689802310783135,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.6126263941844161}",25,9,-57.93816484882246,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 1}",1
50,False,"{'a': 0.5, 'e': 0.6065306597126334}",20,0,-11.102672619614658,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.6004955788122659}",25,0,-98.25130092545352,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
52,False,"{'a': 0.5, 'e': 0.5945205479701944}",25,0,2.3447395292579563,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.5886049696783552}",30,2,-116.38618480694021,"{0: 20, 1: 2, 2: 3, 3: 1, 4: 2}",1
54,False,"{'a': 0.5, 'e': 0.5827482523739896}",20,8,-17.801884045589805,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.5769498103804866}",20,0,-73.0571751616605,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",0
56,False,"{'a': 0.5, 'e': 0.5712090638488149}",20,0,-69.25050245351696,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
57,False,"{'a': 0.5, 'e': 0.5655254386995371}",30,18,-3.96334884523466,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.559898366565402}",20,0,11.773786354390303,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.5543272847345071}",20,8,-46.56048943892962,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
60,False,"{'a': 0.5, 'e': 0.5488116360940265}",25,10,-87.34066019417398,"{0: 7, 1: 2, 2: 5, 3: 0, 4: 1}",1
61,False,"{'a': 0.5, 'e': 0.5433508690744998}",25,0,-101.69303049729984,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
62,False,"{'a': 0.5, 'e': 0.5379444375946745}",25,0,-35.59499968067759,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.5325918010068972}",20,0,-61.84009449094681,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
64,False,"{'a': 0.5, 'e': 0.5272924240430485}",20,0,-29.843630614960258,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
65,False,"{'a': 0.5, 'e': 0.522045776761016}",20,0,-30.44861539656545,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
66,False,"{'a': 0.5, 'e': 0.5168513344916992}",20,8,-49.55629640646587,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 1}",1
67,False,"{'a': 0.5, 'e': 0.5117085777865424}",20,6,-15.138295694805857,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.5066169923655895}",30,0,-1.250613449426163,"{0: 26, 1: 2, 2: 2, 3: 0, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.5015760690660555}",25,9,-9.852484803495226,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.49658530379140947}",20,0,-9.481834328273733,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
71,False,"{'a': 0.5, 'e': 0.4916441974609651}",25,0,-22.807499970753693,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
72,False,"{'a': 0.5, 'e': 0.4867522559599717}",25,0,-23.812665502836033,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
73,False,"{'a': 0.5, 'e': 0.48190899009020244}",20,0,1.790046155896496,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
74,False,"{'a': 0.5, 'e': 0.4771139155210344}",20,5,-39.928600804470165,"{0: 10, 1: 1, 2: 3, 3: 1, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.4723665527410147}",30,0,-49.50706237111303,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
76,False,"{'a': 0.5, 'e': 0.46766642700990924}",20,0,-49.15171564861258,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
77,False,"{'a': 0.5, 'e': 0.46301306831122807}",20,0,-111.23634007309907,"{0: 12, 1: 3, 2: 1, 3: 3, 4: 1}",0
78,False,"{'a': 0.5, 'e': 0.4584060113052235}",20,0,-34.934488693127356,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
79,False,"{'a': 0.5, 'e': 0.45384479528235583}",25,7,-9.77572519326303,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.44932896411722156}",25,0,-62.875615875109204,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
81,False,"{'a': 0.5, 'e': 0.4448580662229411}",25,3,29.723828318334657,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.44043165450599925}",25,7,-33.514525659092826,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
83,False,"{'a': 0.5, 'e': 0.43604928632153556}",30,0,5.526085585254162,"{0: 27, 1: 1, 2: 1, 3: 1, 4: 0}",0
84,False,"{'a': 0.5, 'e': 0.43171052342907973}",30,3,-93.56623480504796,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 2}",1
85,False,"{'a': 0.5, 'e': 0.4274149319487267}",30,0,-76.01925674944641,"{0: 22, 1: 1, 2: 6, 3: 0, 4: 1}",0
86,False,"{'a': 0.5, 'e': 0.4231620823177488}",30,14,-5.320417699607573,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.418951549247639}",25,0,-6.195414511169577,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
88,False,"{'a': 0.5, 'e': 0.4147829116815814}",20,15,6.974490565442552,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.4106557527523455}",20,14,-14.247996539310705,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.4065696597405991}",20,8,-22.556117531195074,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
91,False,"{'a': 0.5, 'e': 0.40252422403363597}",20,9,-21.82674289702065,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
92,False,"{'a': 0.5, 'e': 0.39851904108451414}",25,0,-74.4639070202864,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
93,False,"{'a': 0.5, 'e': 0.3945537103716011}",25,7,6.390995216261304,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.3906278353585211}",25,16,14.487832058952149,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.3867410234545012}",25,11,-31.814466790302834,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
96,False,"{'a': 0.5, 'e': 0.38289288597511206}",30,8,-34.375620627756355,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 1}",1
97,False,"{'a': 0.5, 'e': 0.37908303810339883}",30,4,12.346245210238163,"{0: 24, 1: 0, 2: 2, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.37531109885139957}",30,0,-34.167335088485245,"{0: 26, 1: 1, 2: 1, 3: 1, 4: 1}",1
99,False,"{'a': 0.5, 'e': 0.3715766910220457}",25,5,-70.2495160475204,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",1
100,False,"{'a': 0.5, 'e': 0.36787944117144233}",20,14,5.030893904797941,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.3642189795715233}",25,12,-43.74704628614978,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 1}",1
102,False,"{'a': 0.5, 'e': 0.3605949401730783}",25,15,-40.91616801979264,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
103,False,"{'a': 0.5, 'e': 0.3570069605691474}",25,0,-16.85948361760822,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
104,False,"{'a': 0.5, 'e': 0.35345468195878016}",30,8,-90.9320329288173,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 2}",1
105,False,"{'a': 0.5, 'e': 0.3499377491111553}",20,8,2.3259985476753338,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.3464558103300574}",25,0,-16.80298158720719,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 0}",0
107,False,"{'a': 0.5, 'e': 0.34300851741870664}",20,0,-144.0797899788959,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
108,False,"{'a': 0.5, 'e': 0.3395955256449391}",20,15,9.611387276708703,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.3362164937067333}",20,0,-122.3156843875249,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
