trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9900498337491681}",25,0,-197.68720820968267,"{0: 10, 1: 5, 2: 6, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9801986733067553}",20,0,-100.01016469460885,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9704455335485082}",35,0,-165.2002129392989,"{0: 19, 1: 6, 2: 8, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9607894391523232}",30,10,-63.25612589443702,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.951229424500714}",20,11,-16.099169440734894,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.9417645335842487}",20,0,-22.128090841965946,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9323938199059483}",30,0,-105.74537010504191,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9231163463866358}",25,0,-105.78599659546418,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9139311852712282}",20,0,-155.6943291359996,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.9048374180359595}",25,0,-208.8253203377597,"{0: 8, 1: 5, 2: 8, 3: 2, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.8958341352965282}",25,0,-36.545246306721126,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.8869204367171575}",20,3,-86.93512657638774,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.8780954309205613}",30,0,-76.96021488896776,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.8693582353988059}",30,0,-206.80934283976464,"{0: 16, 1: 2, 2: 8, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.8607079764250578}",20,0,-105.57368215998844,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.8521437889662113}",25,0,-123.47873030992307,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.8436648165963837}",20,0,-85.82869517497656,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.835270211411272}",25,0,-45.3351525204784,"{0: 20, 1: 1, 2: 2, 3: 2, 4: 0}",0
